Reference, Quantity, Value, Footprint, Datasheet, Order, Farnell, Price, Farnell Related, MP, MF, Supplier, Plug Farnell, Mouser, Description, Availability, Notes, Farnell2, Note, Order2, Part, OldPart, Type, PartPrevious, Price , RSStockNo, Farnel
C1 C10 C11 C12 C13 C15 C16 C2 C25 C44 C7 C9 ,12,"0.1uF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","1759265","0.0224",",",",",",",",",",",",",",",",",",","
C18 C30 C31 C32 ,4,"1uF 100V","Capacitors_SMD:C_1206_HandSoldering","","","","","","",",","2320876","0.259",",",",",",",",","16V",",",",",",",",",","
C14 C17 C19 C20 C43 ,5,"1uF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",",","0.0617",",",",",",",",","6.3V",",",",",",",",",","
C21 ,1,"10nF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","1414662 ","0.0186",",",",",",",",",",",",",",",",",",","
C22 C23 ,2,"47nF 200V","Capacitors_SMD:C_1206_HandSoldering","","","","","","",",","1855874","0.112",",",",",",",",","45V",",",",",",",",",","
C27 ,1,"2.2uF 50V","Capacitors_SMD:C_1206_HandSoldering","","","","","","",",","1288208","0.253",",",",",",",",","16V",",",",",",",",",","
C28 ,1,"4.7uF 100V","Capacitors_SMD:C_1206_HandSoldering","","","","","","",",","2310265","1.19",","12061Z475KAT2A","AVX",",",",",","45V",",",",",",",",",","
C33 C34 C35 ,3,"30pF 5V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","2581093","0.102",",",",",",",",",",",",",",",",",",","
C36 C39 ,2,"220nF 100V","Capacitors_SMD:C_1206_HandSoldering","","","","","","",",","1856615","0.205",",",",",",",",",",",",",",",",",",","
C37 ,1,"100uF 63V","Capacitors_SMD:c_elec_10x10.5","","","","","","",",","9696040","0.43",",",",",",",",",",",",",",",",",",","
C38 ,1,"22nF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","1414682","0.0246",",",",",",",",","6V",",",",",",",",",","
C3 C4 ,2,"2.2uF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","2611933",",",",",",",",",",",",",",",",",",",","
C40 ,1,"220nF 25V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","1856615","0.205",",",",",",",",","6V",",",",",",",",",","
C41 ,1,"100uF 6.3V","Capacitors_SMD:c_elec_6.3x5.8","","","","","","",",","2611349","0.138",",",",",",",",",",",",",",",",",",","
C42 ,1,"220nF 100V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","1856615","0.205",",",",",",",",","6V",",",",",",",",",","
C24 C26 C29 C45 C46 C47 ,6,"1nF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","9406344","0.0182",",",",",",",",",",",",",",",",",",","
C48 C49 C50 ,3,"100pF 50V","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","499687","0.0184",",",",",",",",",",",",",",",",",",","
C5 C6 ,2,"15pF","Capacitors_SMD:C_0805_HandSoldering","","","","","","",",","2497014",".0303",",",",",",",",",",",",",",",",",",","
